secondary_sample_accession	fastq_ftp	sample_title
SRS1159259	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920527/SRR2920527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920527/SRR2920527_2.fastq.gz	Donor5483-Nkcell-11B-150305
SRS1159258	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920528/SRR2920528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920528/SRR2920528_2.fastq.gz	Donor6926-CLP-14A-150318
SRS1159256	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920529/SRR2920529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920529/SRR2920529_2.fastq.gz	Donor6926-Erythroblast-15A-150318
SRS1159257	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920530/SRR2920530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920530/SRR2920530_2.fastq.gz	Donor6926-Erythroblast-15B-150318
SRS1159255	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920531/SRR2920531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920531/SRR2920531_2.fastq.gz	Donor7256-1A-110614
SRS1159253	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920532/SRR2920532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920532/SRR2920532_2.fastq.gz	Donor7256-1B-110614
SRS1159254	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920533/SRR2920533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920533/SRR2920533_2.fastq.gz	Donor7256-2A-110614
SRS1159252	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920534/SRR2920534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920534/SRR2920534_2.fastq.gz	Donor7256-2B-110614
SRS1159251	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920535/SRR2920535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920535/SRR2920535_2.fastq.gz	Donor7256-3A-141106
SRS1159250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920536/SRR2920536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920536/SRR2920536_2.fastq.gz	Donor7256-4A-110614
SRS1159249	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920537/SRR2920537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920537/SRR2920537_2.fastq.gz	Donor7256-4B-141106
SRS1159248	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920538/SRR2920538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920538/SRR2920538_2.fastq.gz	Donor7256-5A-141106
SRS1159247	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920539/SRR2920539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920539/SRR2920539_2.fastq.gz	Donor7256-5B-141106
SRS1159246	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920540/SRR2920540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920540/SRR2920540_2.fastq.gz	Donor7256-6A-141106
SRS1159245	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920541/SRR2920541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920541/SRR2920541_2.fastq.gz	Donor7256-6B-141106
SRS1159244	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920542/SRR2920542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920542/SRR2920542_2.fastq.gz	Donor7256-7A-141106
SRS1159243	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920543/SRR2920543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920543/SRR2920543_2.fastq.gz	Donor7256-7B-141106
SRS1159242	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920544/SRR2920544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920544/SRR2920544_2.fastq.gz	Donor5483-Bcell-13B-150305
SRS1159241	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920545/SRR2920545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920545/SRR2920545_2.fastq.gz	Donor6926-CLP-14B-150318
SRS1159240	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920546/SRR2920546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920546/SRR2920546_2.fastq.gz	SU048-Leuk-Rep1-140813
SRS1159239	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920547/SRR2920547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920547/SRR2920547_2.fastq.gz	SU048-Leuk-Rep1-150212
SRS1159238	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920548/SRR2920548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920548/SRR2920548_2.fastq.gz	SU048-Leuk-Rep2-140813
SRS1159237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920549/SRR2920549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920549/SRR2920549_2.fastq.gz	SU048-Leuk-Rep2-150212
SRS1159236	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920550/SRR2920550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920550/SRR2920550_2.fastq.gz	SU048-Leuk-Rep3-140813
SRS1159235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920551/SRR2920551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920551/SRR2920551_2.fastq.gz	SU048-Leuk
SRS1159234	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920552/SRR2920552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920552/SRR2920552_2.fastq.gz	SU048-pHSC
SRS1159233	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920553/SRR2920553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920553/SRR2920553_2.fastq.gz	SU070-Leuk-140603.trim
SRS1159232	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920554/SRR2920554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920554/SRR2920554_2.fastq.gz	SU070-Leuk-Rep2-140805
SRS1159231	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920555/SRR2920555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920555/SRR2920555_2.fastq.gz	SU070-LSC-140603.trim
SRS1159230	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920556/SRR2920556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920556/SRR2920556_2.fastq.gz	SU070-pHSC-140603.trim
SRS1159229	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920557/SRR2920557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920557/SRR2920557_2.fastq.gz	SU070-pHSC-Rep2-140805
SRS1159228	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920558/SRR2920558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920558/SRR2920558_2.fastq.gz	SU209-Leuk-140911
SRS1159227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920559/SRR2920559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920559/SRR2920559_2.fastq.gz	SU209-LSC-012015
SRS1159226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920560/SRR2920560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920560/SRR2920560_2.fastq.gz	SU209-pHSC-140911
SRS1159225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920561/SRR2920561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920561/SRR2920561_2.fastq.gz	SU209-pHSC-A-150627
SRS1159224	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920562/SRR2920562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920562/SRR2920562_2.fastq.gz	SU209-pHSC-B-150627
SRS1159223	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920563/SRR2920563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920563/SRR2920563_2.fastq.gz	SU306-Leuk-141121
SRS1159222	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920564/SRR2920564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920564/SRR2920564_2.fastq.gz	SU306-pHSC-141121
SRS1159221	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920565/SRR2920565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920565/SRR2920565_2.fastq.gz	SU336-Leuk-141119
SRS1159220	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920566/SRR2920566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920566/SRR2920566_2.fastq.gz	SU336-pHSC-141119
SRS1159219	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920567/SRR2920567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920567/SRR2920567_2.fastq.gz	SU351-Leuk-140814
SRS1159218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920568/SRR2920568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920568/SRR2920568_2.fastq.gz	SU351-pHSC-140814
SRS1159217	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920569/SRR2920569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920569/SRR2920569_2.fastq.gz	SU353-Leuk-140923
SRS1159216	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920570/SRR2920570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920570/SRR2920570_2.fastq.gz	SU353-LSC-150120
SRS1159215	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920571/SRR2920571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920571/SRR2920571_2.fastq.gz	SU353-pHSC-140923
